platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
FC,Family Computer,迷宫岛,Meikyuu Jima,迷宮島,1990年6月29日,,,Irem,,
FC,Family Computer,飞龙之拳3：5人的龙战士,Hiryuu no Ken III - 5 Nin no Ryuu Senshi,飛龍の拳III 5人の龍戦士,1990年7月6日,,,Culture Brain,,
FC,Family Computer,帽子方块,Hatris,ハットリス,1990年7月6日,,,BPS,,
FC,Family Computer,骰子方块,Palamedes,パラメデス,1990年7月6日,,,HOT-B,,
FC,Family Computer,SD英雄总决战-打倒邪恶的军团,SD Hero Soukessen - Taose! Aku no Gundan,SDヒーロー総決戦 倒せ!悪の軍団,1990年7月7日,,,帕布雷斯特,,
FC,Family Computer,维兹超人,Wit's,Wit's,1990年7月13日,,,アテナ,,
FC,Family Computer,无赖战士,Burai Fighter,ブライファイター,1990年7月20日,,,太东,,
FC,Family Computer,兽王记,Juuouki,獣王記,1990年7月20日,,,Asmik,https://zh.wikipedia.org/wiki/%E5%85%BD%E7%8E%8B%E8%AE%B0,
FC,Family Computer,物产麻将,Nichibutsu Mahjong 3 - Mahjong G Men,マージャンGメン ニチブツマージャンIII,1990年7月20日,,,日本物产,,https://zh.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E7%89%A9%E7%94%A2
FC,Family Computer,天使之翼2：超级射门员/足球小将2,Captain Tsubasa Vol 2 - Super Striker,キャプテン翼II スーパーストライカー,1990年7月20日,,,特库摩,,
FC,Family Computer,魔城奇兵：三次元迷宫的狂兽,Solstice - Sanjigen Meikyu no Kyoju,ソルスティス 三次元迷宮の狂獣,1990年7月20日,,,Epic-Sony,,https://zh.wikipedia.org/wiki/Epic_Records_Japan
FC,Family Computer,全垒打王90,Home Run Nighter '90 - The Pennant League,ホームランナイター'90,1990年7月24日,,,Data East,,
FC,Family Computer,马力欧医生,Dr. Mario,Dr.マリオ,1990年7月27日,,,任天堂,https://zh.wikipedia.org/wiki/%E9%A9%AC%E9%87%8C%E5%A5%A5%E5%8C%BB%E7%94%9F,
FC,Family Computer,燃烧棒球90感动篇,Moe Pro! '90 - Kandou Hen,燃えプロ'90感動編,1990年7月27日,,,Jaleco,,
FC,Family Computer,激斗圣战士,Bikkuriman World - Gekitou Sei Senshi,ビックリマンワールド 激闘聖戦士,1990年7月27日,,,Hudson Soft,,
FC,Family Computer,狙击13：第二章-伊卡尔斯之谜,Golgo 13 - The Riddle of Icarus,ゴルゴ13 第二章イカロスの謎,1990年7月27日,,,VIC东海,,
FC,Family Computer,遗迹行星的野望,Sted - Iseki Wakusei no Yabou,ステッドSTED 遺跡惑星の野望,1990年7月27日,,,K. Amusement Leasing,,
FC,Family Computer,魔法门I：心灵圣地之谜,Might and Magic,マイト・アンド・マジック,1990年7月31日,,,学研,https://zh.wikipedia.org/wiki/%E9%AD%94%E6%B3%95%E9%97%A8I%EF%BC%9A%E5%BF%83%E7%81%B5%E5%9C%A3%E5%9C%B0%E4%B9%8B%E8%B0%9C,https://zh.wikipedia.org/wiki/%E5%AD%A6%E7%A0%94%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9
FC,Family Computer,兔宝宝,Happy Birthday Bugs,ハッピーバースディ・バックス,1990年8月3日,,,KEMCO,,
FC,Family Computer,游戏大会,Game Party,ゲームパーティー,1990年8月3日,,,Coconuts Japan,,
FC,Family Computer,街头快打2010,Street Fighter 2010,2010 ストリートファイター,1990年8月8日,,,卡普空,,
FC,Family Computer,忍者男孩,Ninjara Hoi!,忍者らホイ!,1990年8月8日,,,ASCII,,
FC,Family Computer,星际魂斗罗/最终殖民地,Raf World,ラフワールド,1990年8月10日,,,Sun电子,https://zh.wikipedia.org/wiki/%E6%98%9F%E9%99%85%E9%AD%82%E6%96%97%E7%BD%97,
FC,Family Computer,日本第一名监督,Nihonichi no Mei Kantoku,日本一の名監督,1990年8月10日,,,Asmik,,
FC,Family Computer,赤影战士,Shadow of the Ninja,闇の仕事人 KAGE,1990年8月10日,,,Natsume,https://zh.wikipedia.org/wiki/%E8%B5%A4%E5%BD%B1%E6%88%98%E5%A3%AB,
FC,Family Computer,龙之斗士,Dragon Fighter,ドラゴンファイター,1990年8月10日,,,トーワチキ,,
FC,Family Computer,钓鱼太郎,Kawa no Nushi Tsuri,川のぬし釣り,1990年8月10日,,,Pack-In-Video,,
FC,Family Computer,泰坦,Titan,TITAN,1990年8月10日,,,ソフエル,,
FC,Family Computer,平行世界,Parallel World,ぱられるワールド,1990年8月10日,,,バリエ,,
FC,Family Computer,机器人引导赛,Peepar Time,ピーパータイム,1990年8月10日,,,サンリツ电気,,
FC,Family Computer,SD钢弹外传：骑士钢弹物语,SD Gundam Gaiden - Knight Gundam Monogatari,SDガンダム外伝 ナイトガンダム物語,1990年8月11日,,,万代,,
FC,Family Computer,布洛蒂亚之地-解谜任务,Blodia Land - Puzzle Quest,ブロディアランド,1990年8月11日,,,トンキンハウス[东京书籍],,
FC,Family Computer,孔雀王2,Kujaku Ou 2,孔雀王II,1990年8月21日,,,波丽佳音,,
FC,Family Computer,上海2,Shanghai 2,上海II,1990年8月24日,,,Sun电子,,
FC,Family Computer,魔天童子,Matendouji,魔天童子,1990年8月24日,,,クエスト,,
FC,Family Computer,雀豪,Jangou,雀豪,1990年8月30日,,,Victor音乐产业,,
